gender,age,education_level,experience_years,screening_score,shortlisted
Male,35,Masters,1,72.47312981139616,0
Female,32,Bachelors,15,55.00408449141816,0
Male,36,Masters,19,60.15600374131817,0
Male,44,Bachelors,6,75.84639698269119,0
Male,39,High School,1,43.2975400257319,1
Female,28,Bachelors,0,88.02511859074755,1
Male,41,Masters,18,78.34492720704601,0
Male,37,Bachelors,3,51.614668775102615,0
Male,43,Masters,1,93.9849860669323,0
Female,25,Masters,13,96.74103892486018,0
Male,42,Bachelors,1,68.19508341010261,0
Male,36,PhD,14,60.73510935299757,0
Male,26,High School,11,86.86303574202864,0
Male,28,Bachelors,4,66.5620986255974,0
Female,45,High School,19,71.61039507812853,1
Male,38,Masters,6,82.17289733922767,0
Female,45,Bachelors,9,68.46488536206803,0
Female,32,High School,13,67.58945749683332,0
Female,35,Bachelors,13,57.27605022794781,0
Male,47,Bachelors,4,63.69456904261985,1
Female,46,High School,17,67.39230153743932,1
Male,29,Masters,13,57.61436810965333,0
Female,33,Masters,1,58.520641817906224,1
Female,46,Bachelors,11,70.3360131664399,0
Female,35,PhD,5,51.5029585432804,1
Female,30,Bachelors,3,61.208369843786684,0
Female,36,PhD,12,89.44593993597022,0
Female,27,Bachelors,3,66.54531352859928,1
Female,37,Bachelors,13,65.29276591796149,1
Female,43,High School,15,66.5005416548516,1
Male,46,Masters,3,66.65847618545668,0
Male,41,Bachelors,0,75.74868869838383,0
Female,42,High School,12,75.04866153177801,1
Female,46,High School,3,66.0924158693548,0
Female,27,Bachelors,19,67.86162576862057,0
Male,34,Bachelors,17,83.1277311799006,0
Female,35,Masters,5,54.896952455297495,0
Male,41,Masters,2,69.42417983451278,0
Male,27,High School,12,71.35246540351231,0
Male,29,Masters,15,62.233171399008846,0
Male,39,High School,4,68.84863396508703,1
Male,36,Masters,3,60.88323539198117,0
Female,28,Masters,7,76.37169070701503,0
Female,38,Bachelors,18,56.61793344495621,0
Female,47,Masters,13,80.62333662420059,1
Female,43,Bachelors,6,69.26694842910443,0
Female,49,Bachelors,13,65.51966140566289,1
Male,38,Masters,5,59.95302900345726,0
Female,40,Bachelors,11,80.30657795987464,1
Female,27,Bachelors,15,63.48137865966041,0
Male,23,Bachelors,16,58.32751440505517,0
Female,38,Masters,12,80.51463319008118,1
Male,47,Bachelors,13,60.956941865053416,1
Female,30,High School,6,69.05517685855513,0
Male,27,Masters,13,78.18803775737263,0
Female,37,Masters,14,71.57957602780954,0
Female,34,High School,11,87.30851545869973,1
Male,44,Bachelors,16,61.65049631712323,0
Male,23,High School,8,67.89488663400259,0
Male,32,Bachelors,14,68.66821859732318,0
Male,48,Bachelors,11,76.21234952573995,1
Male,33,Masters,1,82.88623127838093,1
Male,22,Bachelors,4,70.73616509628697,1
Male,23,Bachelors,12,68.62336169639715,0
Male,25,Bachelors,19,55.170081321701346,1
Female,31,Masters,7,71.12381189796695,1
Female,28,Bachelors,13,63.49699990003546,1
Male,46,PhD,14,76.1843631059877,0
Female,43,Bachelors,10,65.90315810781972,0
Female,43,High School,0,67.5936194562993,1
Female,32,Bachelors,2,55.39731985416431,0
Female,27,Bachelors,16,51.88547916237461,0
Male,35,Bachelors,18,88.6098704018361,1
Female,44,High School,13,71.29683909565276,1
Male,37,High School,7,74.04335477630609,1
Female,24,Masters,12,60.87705036817247,1
Female,49,Bachelors,19,78.75523607178613,0
Female,42,Masters,2,76.9513989590436,0
Male,45,Bachelors,4,61.9757280557719,0
Female,33,Bachelors,8,59.404945641546135,0
Male,38,Bachelors,5,62.67472316172727,0
Female,21,Bachelors,1,69.71717351292888,0
Male,36,Bachelors,12,71.67107003140225,0
Female,33,Bachelors,4,70.38394008238652,1
Male,30,High School,7,82.98730108640204,1
Male,32,Bachelors,0,62.850431499039416,1
Female,22,Bachelors,19,59.133380089710805,1
Male,43,Masters,11,70.00099021851821,1
Female,23,Masters,10,53.06915184169054,1
Female,30,Masters,6,76.95737498510618,1
Female,22,Masters,14,70.97963264476127,1
Female,47,Bachelors,10,66.61961959090054,1
Female,43,Bachelors,15,66.06447126750861,1
Female,33,Masters,2,79.09995782121233,0
Female,33,Bachelors,19,78.78147935338531,0
Female,38,Bachelors,13,67.53628141586647,0
Female,23,High School,2,75.9176882355788,0
Female,47,Bachelors,0,78.63370461840339,0
Female,27,Bachelors,14,73.35526225624713,0
Male,34,Masters,0,67.94534980371274,0
Male,40,Bachelors,16,73.81167707490602,0
Female,49,Bachelors,1,59.60913357070625,1
Female,37,PhD,19,70.71105569293925,0
Female,49,High School,5,67.66873744373743,1
Female,41,Bachelors,7,66.10134376206531,1
Female,32,High School,15,52.7347898813657,0
Female,45,Masters,18,59.72402248587571,1
Female,36,Masters,0,65.14105175874619,0
Female,44,Bachelors,2,78.95039180638756,0
Male,32,Masters,2,72.85823490403988,0
Female,35,Bachelors,4,79.39674248027902,0
Male,45,Masters,11,82.4291338240013,0
Female,30,Masters,11,73.29309145249495,0
Female,45,Masters,19,71.40293410680297,0
Male,27,High School,12,60.2700600331479,0
Female,40,PhD,19,89.86671264573309,0
Male,25,Masters,8,55.82155928289809,1
Female,21,Bachelors,6,71.18734088208495,0
Female,37,Masters,3,78.32799003545382,0
Male,23,Bachelors,18,78.46737577531337,0
Female,33,Masters,18,58.449109095606765,0
Male,34,High School,5,65.8009699713241,0
Female,44,Masters,12,62.010452278823365,1
Male,38,Bachelors,10,50.195657704339794,0
Male,24,High School,12,71.30326741744962,1
Female,38,Bachelors,12,62.82384603760023,1
Female,25,High School,19,85.05482284711346,0
Male,45,Bachelors,14,76.15174438188672,0
Female,36,Bachelors,12,70.41401950214107,1
Female,21,Bachelors,10,65.27300467629131,1
Female,41,Bachelors,18,71.15116069785675,0
Male,34,Bachelors,7,67.4412618408422,1
Male,35,Masters,19,70.69539108893109,1
Male,29,High School,7,89.01635770831969,0
Male,35,Masters,9,59.35243844652322,1
Male,37,Masters,15,68.31358131351726,0
Male,45,Bachelors,18,77.06388400302224,0
Male,44,Bachelors,10,65.99859158214176,1
Male,24,Masters,12,85.8054184060837,1
Male,32,High School,8,76.78459153011838,0
Female,47,High School,19,62.811095848303765,0
Male,46,Bachelors,18,72.04068702274982,1
Female,25,Masters,15,62.953912658121986,1
Female,49,High School,6,62.033416856459056,1
Female,25,Bachelors,18,68.5980202029042,1
Male,31,PhD,11,82.63761161901782,1
Male,48,Masters,14,77.45445039784717,0
Male,26,Bachelors,13,69.77422393502744,0
Male,27,High School,10,77.81186194802393,0
Female,44,Masters,9,72.68618710415828,1
Male,34,Bachelors,10,58.30106974374712,1
Male,44,High School,5,68.5486238081169,0
Male,31,High School,1,69.26840404018535,0
Male,33,Masters,10,77.61690336925962,0
Male,22,Bachelors,18,64.33529499397903,0
Female,45,Masters,5,60.8733542433923,0
Male,27,Masters,13,69.54453043213194,0
Female,40,Bachelors,19,63.545754960054474,0
Male,24,Bachelors,5,66.76490780416364,0
Female,47,Bachelors,16,69.19120427108874,0
Male,28,Bachelors,9,66.16955836275545,0
Male,40,Bachelors,0,79.63182742852817,1
Female,49,Masters,2,84.14295106004421,0
Female,42,Bachelors,7,78.62910742958215,1
Female,41,Masters,7,52.28802834845136,1
Male,39,Bachelors,19,63.580263376981655,0
Female,33,Bachelors,14,68.21347880967805,0
Male,34,Bachelors,6,51.53726740649924,1
Male,30,Bachelors,10,61.241082828507196,1
Female,31,Masters,6,68.0857003076745,1
Female,22,Bachelors,3,65.51025918870938,1
Male,45,Bachelors,11,70.08650177308918,0
Male,46,High School,5,56.19171638723046,0
Female,29,Bachelors,13,65.39717649283163,0
Female,37,Bachelors,11,71.5190975072658,0
Female,46,Bachelors,10,70.1020147142487,0
Male,23,PhD,18,74.46893577647883,1
Male,44,Bachelors,4,73.88574361997533,0
Male,26,Masters,13,65.92893031245835,0
