id,aggregateDate,airTemperatureMax,airTemperatureMin,airTemperatureAvg,relativeHumidityMax,relativeHumidityMin,relativeHumidityAvg,insolationAvg,windSpeedMax,windSpeedMin,windSpeedAvg,airPressureMax,airPressureMin,airPressureAvg,precipitationSum
IUNG2,2024-08-01T00:00:00Z,15.7,15.5,15.58,99.8,99.8,99.8,,1.3,0.0,0.57,,,,0.0
IUNG2,2024-08-01T01:00:00Z,16.7,16.0,16.3,99.5,93.8,96.88,,1.5,1.0,1.27,,,,0.0
IUNG2,2024-08-01T02:00:00Z,16.2,15.9,16.03,99.7,96.8,98.52,,1.5,0.2,0.9,,,,0.0
IUNG2,2024-08-01T03:00:00Z,17.0,15.8,16.28,99.8,91.9,97.85,,1.7,0.0,0.87,,,,0.0
IUNG2,2024-08-01T04:00:00Z,20.2,17.3,19.02,90.7,66.4,76.62,,1.6,0.4,0.8,,,,0.0
IUNG2,2024-08-01T05:00:00Z,21.1,20.6,20.83,62.8,60.4,61.32,,0.7,0.4,0.62,,,,0.0
IUNG2,2024-08-01T06:00:00Z,21.0,20.8,20.88,64.7,60.1,62.55,,2.4,1.1,1.78,,,,0.0
IUNG2,2024-08-01T07:00:00Z,21.5,20.6,21.1,66.3,61.9,63.72,,1.0,0.5,0.77,,,,0.0
IUNG2,2024-08-01T08:00:00Z,21.8,21.0,21.43,68.9,60.6,65.57,,1.1,0.3,0.7,,,,0.1
IUNG2,2024-08-01T09:00:00Z,21.3,20.5,20.88,76.4,69.7,73.06,,2.6,1.2,1.78,,,,0.0
IUNG2,2024-08-01T10:00:00Z,20.2,20.2,20.2,79.5,75.9,77.7,,2.4,1.6,2.0,,,,0.0
IUNG2,2024-08-01T11:00:00Z,20.3,19.8,20.14,79.3,76.7,77.6,,2.9,2.5,2.64,,,,0.0
IUNG2,2024-08-01T12:00:00Z,20.4,19.9,20.1,77.5,76.1,76.9,,2.4,1.7,2.04,,,,0.0
IUNG2,2024-08-01T13:00:00Z,20.2,19.9,20.02,79.0,76.2,78.06,,2.7,2.5,2.58,,,,0.0
IUNG2,2024-08-01T14:00:00Z,20.3,20.0,20.17,80.4,78.4,79.38,,2.6,0.8,1.87,,,,0.0
IUNG2,2024-08-01T15:00:00Z,20.6,20.3,20.43,82.8,79.2,81.12,,1.8,0.8,1.43,,,,0.0
IUNG2,2024-08-01T16:00:00Z,20.8,20.0,20.52,83.6,80.1,81.38,,1.8,1.4,1.58,,,,0.0
IUNG2,2024-08-01T17:00:00Z,19.4,17.7,18.47,99.9,87.9,96.32,,2.3,0.1,1.07,,,,0.0
IUNG2,2024-08-01T18:00:00Z,17.3,15.9,16.77,99.8,99.8,99.8,,0.9,0.0,0.22,,,,0.0
IUNG2,2024-08-01T19:00:00Z,16.3,15.6,15.97,99.8,99.8,99.8,,0.1,0.0,0.02,,,,0.0
